Territory1,Territory2,wildlife1,wildlife2,wildlife3
PRAIRIE,WETLAND,SALMON,HAWK,
MOUNTAIN,WETLAND,ELK,FOX,
FOREST,WETLAND,BEAR,FOX,
RIVER,RIVER,HAWK,,
FOREST,RIVER,FOX,SALMON,
PRAIRIE,WETLAND,ELK,SALMON,
FOREST,WETLAND,ELK,SALMON,
WETLAND,RIVER,HAWK,BEAR,
MOUNTAIN,FOREST,BEAR,FOX,
FOREST,WETLAND,HAWK,ELK,
MOUNTAIN,FOREST,BEAR,ELK,HAWK
WETLAND,WETLAND,FOX,,
PRAIRIE,WETLAND,SALMON,ELK,FOX
RIVER,RIVER,SALMON,,
PRAIRIE,WETLAND,FOX,,
PRAIRIE,RIVER,FOX,BEAR,
PRAIRIE,RIVER,SALMON,FOX,BEAR
FOREST,WETLAND,FOX,HAWK,
MOUNTAIN,FOREST,ELK,FOX,
WETLAND,RIVER,SALMON,BEAR,
WETLAND,WETLAND,SALMON,,
MOUNTAIN,FOREST,FOX,ELK,BEAR
RIVER,MOUNTAIN,SALMON,HAWK,
MOUNTAIN,PRAIRIE,HAWK,FOX,
MOUNTAIN,PRAIRIE,FOX,ELK,BEAR
FOREST,PRAIRIE,SALMON,ELK,FOX
FOREST,FOREST,ELK,,
PRAIRIE,PRAIRIE,FOX,,
MOUNTAIN,WETLAND,SALMON,BEAR,
FOREST,RIVER,HAWK,ELK,FOX
PRAIRIE,RIVER,ELK,HAWK,
WETLAND,RIVER,FOX,HAWK,
FOREST,FOREST,ELK,,
MOUNTAIN,MOUNTAIN,BEAR,,
RIVER,MOUNTAIN,SALMON,BEAR,
FOREST,WETLAND,SALMON,ELK,HAWK
RIVER,MOUNTAIN,BEAR,ELK,
MOUNTAIN,MOUNTAIN,HAWK,,
WETLAND,WETLAND,FOX,,
MOUNTAIN,WETLAND,HAWK,SALMON,
MOUNTAIN,MOUNTAIN,ELK,,
FOREST,PRAIRIE,FOX,SALMON,
MOUNTAIN,WETLAND,FOX,BEAR,HAWK
PRAIRIE,PRAIRIE,ELK,,
MOUNTAIN,PRAIRIE,ELK,SALMON,
FOREST,FOREST,FOX,,
MOUNTAIN,WETLAND,ELK,HAWK,
MOUNTAIN,RIVER,BEAR,SALMON,
RIVER,MOUNTAIN,BEAR,HAWK,SALMON
MOUNTAIN,PRAIRIE,BEAR,FOX,SALMON
MOUNTAIN,FOREST,HAWK,BEAR,
MOUNTAIN,MOUNTAIN,HAWK,,
PRAIRIE,PRAIRIE,SALMON,,
FOREST,PRAIRIE,ELK,SALMON,
PRAIRIE,RIVER,FOX,BEAR,HAWK
MOUNTAIN,MOUNTAIN,ELK,,
RIVER,RIVER,BEAR,,
WETLAND,RIVER,FOX,SALMON,
RIVER,RIVER,HAWK,,
FOREST,FOREST,BEAR,,
FOREST,RIVER,ELK,BEAR,
MOUNTAIN,PRAIRIE,BEAR,SALMON,
FOREST,FOREST,BEAR,,
WETLAND,WETLAND,HAWK,,
FOREST,PRAIRIE,BEAR,ELK,
RIVER,MOUNTAIN,HAWK,ELK,
FOREST,FOREST,FOX,,
FOREST,PRAIRIE,BEAR,FOX,
PRAIRIE,RIVER,ELK,SALMON,
PRAIRIE,PRAIRIE,ELK,,
FOREST,WETLAND,BEAR,SALMON,
WETLAND,RIVER,SALMON,BEAR,HAWK
FOREST,RIVER,FOX,BEAR,
MOUNTAIN,PRAIRIE,HAWK,ELK,
PRAIRIE,WETLAND,FOX,HAWK,
MOUNTAIN,MOUNTAIN,BEAR,,
PRAIRIE,WETLAND,SALMON,FOX,HAWK
FOREST,RIVER,HAWK,ELK,
WETLAND,RIVER,SALMON,HAWK,
RIVER,MOUNTAIN,BEAR,HAWK,
RIVER,RIVER,BEAR,,
PRAIRIE,RIVER,FOX,HAWK,
WETLAND,WETLAND,SALMON,,
PRAIRIE,PRAIRIE,SALMON,,
MOUNTAIN,WETLAND,SALMON,BEAR,ELK
